doc	x	y	w	h	pageid	img_node	img_w	img_h	src_node
1584:2	-4033.0	-54326.0	1922.0	3429.0	AD_SALES	1584:61	1250	837.703125	943:2
1591:2	-4033.0	-4513.0	1922.0	4895.0	AD_SIM	1591:61	1250	837.703125	946:2
1593:2	6267.0	1622.0	1922.0	4310.0	AD_SETTLE_DIFF	1593:61	1250	837.703125	989:2
1592:2	2147.0	1622.0	1922.0	5529.0	AD_SETTLE_DETAIL	1592:61	1250	837.703125	976:2
1596:2	-4033.0	13129.0	1922.0	3848.0	AD_SETTLE_TRANSFER	1596:61	1250	837.703125	1009:2
1597:2	-4033.0	-12298.0	1922.0	4416.0	AD_PRODUCT	1597:61	1250	837.703125	915:2
1599:2	-4033.0	-61236.0	1922.0	5670.0	AD_HOME	1599:61	1250	837.703125	914:2
1598:2	-4033.0	-50577.0	1922.0	5282.0	AD_SALES_DT	1598:61	1250	837.703125	947:2
1600:2	-1973.0	-50577.0	1922.0	2660.0	AD_SALES_DT_PAYOUT	1600:61	1250	837.703125	952:2
1601:2	2147.0	-50577.0	1922.0	2730.0	AD_SALES_DT_CANCEL	1601:61	1250	837.703125	966:2
1602:2	87.0	-50577.0	1922.0	2799.0	AD_SALES_DT_NORMAL	1602:61	1250	837.703125	957:2
1603:2	6267.0	-50577.0	1922.0	3356.0	AD_SALES_DT_BM	1603:61	1250	837.703125	979:2
1604:2	-1973.0	-44975.0	1922.0	2894.0	AD_SALES_DT_ADJUST	1604:61	1250	837.703125	997:2
1605:2	87.0	-44975.0	1922.0	3149.0	AD_SALES_DT_ADD_CARD	1605:61	1250	837.703125	1002:2
1606:2	2147.0	-40466.0	1922.0	2918.0	AD_MERCHANT_REJECT	1606:61	1250	837.703125	967:2
1607:2	6267.0	-40466.0	1922.0	2637.0	AD_MERCHANT_LEGACY	1607:61	1250	837.703125	975:2
1608:2	87.0	-31988.0	1922.0	3148.0	AD_MERCHANT_DT_LOCKVERIFY	1608:61	1250	837.703125	1004:2
1609:2	2147.0	-31988.0	1922.0	2851.0	AD_MERCHANT_DT_LOCKDETAIL	1609:61	1250	837.703125	1010:2
1611:2	4207.0	-31988.0	1922.0	1513.0	AD_MERCHANT_DT_RESIGN	1611:61	1250	837.703125	1019:2
1610:2	-4033.0	-23453.0	1922.0	2638.0	AD_MERCHANT_DT_FEERESET	1610:61	1250	837.703125	1022:2
1613:2	87.0	-23453.0	1922.0	1513.0	AD_MERCHANT_DT_TRANSFER	1613:61	1250	837.703125	1024:2
1612:2	-1973.0	-23453.0	1922.0	1513.0	AD_MERCHANT_DT_WEEKDAY	1612:61	1250	837.703125	1023:2
1614:2	4207.0	-23453.0	1922.0	3052.0	AD_MERCHANT_DT_ADJUST	1614:61	1250	837.703125	1026:2
1616:2	4207.0	-20081.0	1922.0	2864.0	AD_MERCHANT_DT_IDCARD	1616:61	1250	837.703125	1093:2
1615:2	2147.0	-20081.0	1922.0	2841.0	AD_MERCHANT_DT_REJECT	1615:61	1250	837.703125	1034:2
1617:2	-4033.0	-35205.0	1922.0	2897.0	AD_MERCHANT_ASSIGN	1617:61	1250	837.703125	1057:2
1619:2	-1973.0	-16525.0	1922.0	2987.0	AD_MERCHANT_DT_DEBT	1619:61	1250	837.703125	1097:2
1620:2	87.0	-16525.0	1922.0	2781.0	AD_MERCHANT_DT_PLATFORM	1620:61	1250	837.703125	1098:2
1621:2	-1973.0	-12298.0	1922.0	2825.0	AD_PRODUCT_GENERAL	1621:61	1250	837.703125	919:2
1622:2	2147.0	-12298.0	1922.0	3357.0	AD_PRODUCT_ADD	1622:61	1250	837.703125	929:2
1623:2	6267.0	-12298.0	1922.0	2591.0	AD_PRODUCT_DEACT	1623:61	1250	837.703125	938:2
1625:2	-1973.0	-4513.0	1922.0	2871.0	AD_SIM_MULTI	1625:61	1250	837.703125	949:2
